urn,group,author,title
urn:cts:ancJewLit:babTalmud.arakhin,urn:cts:ancJewLit:babTalmud,Babylonian Talmud,"Babylonian Talmud, Tractate Arakhin"
urn:cts:ancJewLit:babTalmud.avodah_zarah,urn:cts:ancJewLit:babTalmud,Babylonian Talmud,"Babylonian Talmud, Tractate Avodah Zarah"
urn:cts:ancJewLit:babTalmud.bava_batra,urn:cts:ancJewLit:babTalmud,Babylonian Talmud,"Babylonian Talmud, Tractate Bava Batra"
urn:cts:ancJewLit:babTalmud.bava_metsia,urn:cts:ancJewLit:babTalmud,Babylonian Talmud,"Babylonian Talmud, Tractate Bava Metsia"
urn:cts:ancJewLit:babTalmud.bava_qamma,urn:cts:ancJewLit:babTalmud,Babylonian Talmud,"Babylonian Talmud, Tractate Bava Qamma"
urn:cts:ancJewLit:babTalmud.bekhorot,urn:cts:ancJewLit:babTalmud,Babylonian Talmud,"Babylonian Talmud, Tractate Bekhorot"
urn:cts:ancJewLit:babTalmud.berakhot,urn:cts:ancJewLit:babTalmud,Babylonian Talmud,"Babylonian Talmud, Tractate Berakhot"
urn:cts:ancJewLit:babTalmud.besa,urn:cts:ancJewLit:babTalmud,Babylonian Talmud,"Babylonian Talmud, Tractate Besa"
urn:cts:ancJewLit:babTalmud.eruvin,urn:cts:ancJewLit:babTalmud,Babylonian Talmud,"Babylonian Talmud, Tractate Eruvin"
urn:cts:ancJewLit:babTalmud.gittin,urn:cts:ancJewLit:babTalmud,Babylonian Talmud,"Babylonian Talmud, Tractate Gittin"
urn:cts:ancJewLit:babTalmud.hagigah,urn:cts:ancJewLit:babTalmud,Babylonian Talmud,"Babylonian Talmud, Tractate Hagigah"
urn:cts:ancJewLit:babTalmud.horayot,urn:cts:ancJewLit:babTalmud,Babylonian Talmud,"Babylonian Talmud, Tractate Horayot"
urn:cts:ancJewLit:babTalmud.hulin,urn:cts:ancJewLit:babTalmud,Babylonian Talmud,"Babylonian Talmud, Tractate Hulin"
urn:cts:ancJewLit:babTalmud.keritot,urn:cts:ancJewLit:babTalmud,Babylonian Talmud,"Babylonian Talmud, Tractate Keritot"
urn:cts:ancJewLit:babTalmud.ketubot,urn:cts:ancJewLit:babTalmud,Babylonian Talmud,"Babylonian Talmud, Tractate Ketubot"
urn:cts:ancJewLit:babTalmud.makkot,urn:cts:ancJewLit:babTalmud,Babylonian Talmud,"Babylonian Talmud, Tractate Makkot"
urn:cts:ancJewLit:babTalmud.megillah,urn:cts:ancJewLit:babTalmud,Babylonian Talmud,"Babylonian Talmud, Tractate Megillah"
urn:cts:ancJewLit:babTalmud.meilah,urn:cts:ancJewLit:babTalmud,Babylonian Talmud,"Babylonian Talmud, Tractate Meilah"
urn:cts:ancJewLit:babTalmud.menahot,urn:cts:ancJewLit:babTalmud,Babylonian Talmud,"Babylonian Talmud, Tractate Menahot"
urn:cts:ancJewLit:babTalmud.moed_qatan,urn:cts:ancJewLit:babTalmud,Babylonian Talmud,"Babylonian Talmud, Tractate Moed Qatan"
urn:cts:ancJewLit:babTalmud.nazir,urn:cts:ancJewLit:babTalmud,Babylonian Talmud,"Babylonian Talmud, Tractate Nazir"
urn:cts:ancJewLit:babTalmud.nedarim,urn:cts:ancJewLit:babTalmud,Babylonian Talmud,"Babylonian Talmud, Tractate Nedarim"
urn:cts:ancJewLit:babTalmud.niddah,urn:cts:ancJewLit:babTalmud,Babylonian Talmud,"Babylonian Talmud, Tractate Niddah"
urn:cts:ancJewLit:babTalmud.pesahim,urn:cts:ancJewLit:babTalmud,Babylonian Talmud,"Babylonian Talmud, Tractate Pesahim"
urn:cts:ancJewLit:babTalmud.qiddushin,urn:cts:ancJewLit:babTalmud,Babylonian Talmud,"Babylonian Talmud, Tractate Qiddushin"
urn:cts:ancJewLit:babTalmud.rosh_hashanah,urn:cts:ancJewLit:babTalmud,Babylonian Talmud,"Babylonian Talmud, Tractate Rosh Hashanah"
urn:cts:ancJewLit:babTalmud.sanhedrin,urn:cts:ancJewLit:babTalmud,Babylonian Talmud,"Babylonian Talmud, Tractate Sanhedrin"
urn:cts:ancJewLit:babTalmud.shabbat,urn:cts:ancJewLit:babTalmud,Babylonian Talmud,"Babylonian Talmud, Tractate Shabbat"
urn:cts:ancJewLit:babTalmud.shevuot,urn:cts:ancJewLit:babTalmud,Babylonian Talmud,"Babylonian Talmud, Tractate Shevuot"
urn:cts:ancJewLit:babTalmud.sotah,urn:cts:ancJewLit:babTalmud,Babylonian Talmud,"Babylonian Talmud, Tractate Sotah"
urn:cts:ancJewLit:babTalmud.sukkah,urn:cts:ancJewLit:babTalmud,Babylonian Talmud,"Babylonian Talmud, Tractate Sukkah"
urn:cts:ancJewLit:babTalmud.taanit,urn:cts:ancJewLit:babTalmud,Babylonian Talmud,"Babylonian Talmud, Tractate Taanit"
urn:cts:ancJewLit:babTalmud.tamid,urn:cts:ancJewLit:babTalmud,Babylonian Talmud,"Babylonian Talmud, Tractate Tamid"
urn:cts:ancJewLit:babTalmud.temurah,urn:cts:ancJewLit:babTalmud,Babylonian Talmud,"Babylonian Talmud, Tractate Temurah"
urn:cts:ancJewLit:babTalmud.yevamot,urn:cts:ancJewLit:babTalmud,Babylonian Talmud,"Babylonian Talmud, Tractate Yevamot"
urn:cts:ancJewLit:babTalmud.yoma,urn:cts:ancJewLit:babTalmud,Babylonian Talmud,"Babylonian Talmud, Tractate Yoma"
urn:cts:ancJewLit:babTalmud.zevahim,urn:cts:ancJewLit:babTalmud,Babylonian Talmud,"Babylonian Talmud, Tractate Zevahim"
urn:cts:ancJewLit:hebBible.amos,urn:cts:ancJewLit:hebBible,Hebrew Bible,Amos
urn:cts:ancJewLit:hebBible.chronicles_1,urn:cts:ancJewLit:hebBible,Hebrew Bible,Chronicles_1
urn:cts:ancJewLit:hebBible.chronicles_2,urn:cts:ancJewLit:hebBible,Hebrew Bible,Chronicles_2
urn:cts:ancJewLit:hebBible.daniel,urn:cts:ancJewLit:hebBible,Hebrew Bible,Daniel
urn:cts:ancJewLit:hebBible.deuteronomy,urn:cts:ancJewLit:hebBible,Hebrew Bible,Deuteronomy
urn:cts:ancJewLit:hebBible.ecclesiastes,urn:cts:ancJewLit:hebBible,Hebrew Bible,Ecclesiastes
urn:cts:ancJewLit:hebBible.esther,urn:cts:ancJewLit:hebBible,Hebrew Bible,Esther
urn:cts:ancJewLit:hebBible.exodus,urn:cts:ancJewLit:hebBible,Hebrew Bible,Exodus
urn:cts:ancJewLit:hebBible.ezekiel,urn:cts:ancJewLit:hebBible,Hebrew Bible,Ezekiel
urn:cts:ancJewLit:hebBible.ezra,urn:cts:ancJewLit:hebBible,Hebrew Bible,Ezra
urn:cts:ancJewLit:hebBible.genesis,urn:cts:ancJewLit:hebBible,Hebrew Bible,Genesis
urn:cts:ancJewLit:hebBible.habakkuk,urn:cts:ancJewLit:hebBible,Hebrew Bible,Habakkuk
urn:cts:ancJewLit:hebBible.haggai,urn:cts:ancJewLit:hebBible,Hebrew Bible,Haggai
urn:cts:ancJewLit:hebBible.hosea,urn:cts:ancJewLit:hebBible,Hebrew Bible,Hosea
urn:cts:ancJewLit:hebBible.isaiah,urn:cts:ancJewLit:hebBible,Hebrew Bible,Isaiah
urn:cts:ancJewLit:hebBible.jeremiah,urn:cts:ancJewLit:hebBible,Hebrew Bible,Jeremiah
